OriginCityMarketID,DestCityMarketID,Sum_of_Passengers,ID_Pair,Distance,Metro_Area_Name_Origin_,Metro_Area_Name_Dest_,State,FullName,OriginLat,OriginLon,DestLat,DestLon,Origin Rank,Destination Rank
31453,32206,19386,31453-32206,283.9264056,Houston,Harlingen,TX,"Harlingen,TX",29.786,-95.3885,26.1916,-97.6977,13,8
31453,31140,15980,31453-31140,195.1903942,Houston,Corpus Christi,TX,"CorpusChristi,TX",29.786,-95.3885,27.7254,-97.3767,13,9
31453,33244,15957,31453-33244,473.23985,Houston,Memphis,TN,"Memphis,TN",29.786,-95.3885,35.1087,-89.9663,13,10
33570,32457,187394,33570-32457,438.1135932,San Diego,Bay Area,,,32.8313,-117.1222,37.7558,-122.4449,14,1
33570,30466,64291,33570-30466,304,San Diego,Phoenix,,,32.8313,-117.1222,33.5722,-112.0892,14,2
33570,32211,63350,33570-32211,258,San Diego,Las Vegas,,,32.8313,-117.1222,36.2333,-115.2654,14,3
33570,33192,62782,33570-33192,480,San Diego,Sacremento,,,32.8313,-117.1222,38.5677,-121.4685,14,4
33570,32575,28966,33570-32575,106.9306714,San Diego,LA/Inland Empire,,,32.8313,-117.1222,34.1141,-118.4068,14,5
34100,30721,86132,34100-30721,270.018643,Philadelphia,Boston/Providence,,,40.0077,-75.1339,42.3188,-71.0852,15,1
34100,31057,44160,34100-31057,449,Philadelphia,Charlotte ,,,40.0077,-75.1339,35.2083,-80.8303,15,2
34100,31295,26855,34100-31295,453,Philadelphia,Detroit,,,40.0077,-75.1339,42.3834,-83.1024,15,3
34100,34492,21058,34100-34492,337,Philadelphia,Raleigh,,,40.0077,-75.1339,35.8324,-78.6429,15,4
34100,31703,15159,34100-31703,109.7503824,Philadelphia,New York,,,40.0077,-75.1339,40.6943,-73.9249,15,5
31650,30977,108179,31650-30977,338.3643443,Minneapolis/St.Paul,Chicago,,,44.9635,-93.2678,41.8375,-87.6866,16,1
31650,31123,24233,31650-31123,448,Minneapolis/St.Paul,St. Louis,MO,"St.Louis,MO",44.9635,-93.2678,38.6359,-90.2451,16,2
31650,33342,20736,31650-33342,297,Minneapolis/St.Paul,Milwaukee,WI,"Milwaukee,WI",44.9635,-93.2678,43.0642,-87.9675,16,3
31650,33198,19016,31650-33198,393,Minneapolis/St.Paul,Kansas City,MO,"KansasCity,MO",44.9635,-93.2678,39.1238,-94.5541,16,4
31650,31637,15618,31650-31637,223,Minneapolis/St.Paul,Fargo,ND,"Fargo,ND",44.9635,-93.2678,46.8651,-96.8292,16,5
33192,32575,157407,33192-32575,377.6141694,Sacremento,LA/Inland Empire,,,38.5677,-121.4685,34.1141,-118.4068,17,1
33192,33570,62248,33192-33570,480,Sacremento,San Diego,,,38.5677,-121.4685,32.8313,-117.1222,17,2
33192,32211,41702,33192-32211,397,Sacremento,Las Vegas,,,38.5677,-121.4685,36.2333,-115.2654,17,3
33192,34057,25561,33192-34057,479,Sacremento,Portland ,OR,"Portland,OR",38.5677,-121.4685,45.5371,-122.65,17,4
30693,30397,53744,30693-30397,214,Nashville,Atlanta,,,36.1715,-86.7842,33.7628,-84.422,18,1
30693,30977,52947,30693-30977,404.3774591,Nashville,Chicago,,,36.1715,-86.7842,41.8375,-87.6866,18,2
30693,31057,32807,30693-31057,328,Nashville,Charlotte ,,,36.1715,-86.7842,35.2083,-80.8303,18,3
30693,31295,27597,30693-31295,456,Nashville,Detroit,,,36.1715,-86.7842,42.3834,-83.1024,18,4
30693,34492,15552,30693-34492,442,Nashville,Raleigh,,,36.1715,-86.7842,35.8324,-78.6429,18,5
30693,33495,15226,30693-33495,471,Nashville,New Orleans ,LA,"NewOrleans,LA",36.1715,-86.7842,30.0687,-89.9288,18,6
30325,34614,71930,30325-34614,391,Denver,Salt Lake City,UT,"SaltLakeCity,UT",39.762,-104.8758,40.7776,-111.9311,19,1
30325,33316,29076,30325-33316,472,Denver,Omaha,NE,"Omaha,NE",39.762,-104.8758,41.2627,-96.0529,19,2
30325,30140,25192,30325-30140,349,Denver,Albuquerque,NM,"Albuquerque,NM",39.762,-104.8758,35.1054,-106.6465,19,3
30325,33851,24949,30325-33851,495,Denver,Oklahoma City,OK,"OklahomaCity,OK",39.762,-104.8758,35.4676,-97.5136,19,4
34492,31703,67987,34492-31703,425.466601,Raleigh,New York,,,35.8324,-78.6429,40.6943,-73.9249,20,1
34492,30397,61664,34492-30397,356,Raleigh,Atlanta,,,35.8324,-78.6429,33.7628,-84.422,20,2
34492,30852,59979,34492-30852,235.8075277,Raleigh,Washington D.C.,,,35.8324,-78.6429,38.9047,-77.0163,20,3
34492,31057,35194,34492-31057,130,Raleigh,Charlotte ,,,35.8324,-78.6429,35.2083,-80.8303,20,4
34492,34100,20430,34492-34100,337,Raleigh,Philadelphia,,,35.8324,-78.6429,40.0077,-75.1339,20,5
34492,30693,16584,34492-30693,442,Raleigh,Nashville,,,35.8324,-78.6429,36.1715,-86.7842,20,6
